pair,row_value,column_value,count,row_total,column_total,total
branch_group__works_in_industry_en,B,automotive,51,2500,100,5000
branch_group__works_in_industry_en,B,banking,51,2500,100,5000
branch_group__works_in_industry_en,B,biotech,49,2500,100,5000
branch_group__works_in_industry_en,B,books,51,2500,100,5000
branch_group__works_in_industry_en,B,catering,50,2500,100,5000
branch_group__works_in_industry_en,B,chemicals,52,2500,100,5000
branch_group__works_in_industry_en,B,communications,51,2500,100,5000
branch_group__works_in_industry_en,B,construction,49,2500,100,5000
branch_group__works_in_industry_en,B,consulting,50,2500,100,5000
branch_group__works_in_industry_en,B,electrical,51,2500,100,5000
branch_group__works_in_industry_en,B,energy,48,2500,100,5000
branch_group__works_in_industry_en,B,engineering,52,2500,100,5000
branch_group__works_in_industry_en,B,entertainment,51,2500,100,5000
branch_group__works_in_industry_en,B,extraction,49,2500,100,5000
branch_group__works_in_industry_en,B,fabrication,51,2500,100,5000
branch_group__works_in_industry_en,B,farming,50,2500,100,5000
branch_group__works_in_industry_en,B,fashion,50,2500,100,5000
branch_group__works_in_industry_en,B,gaming,49,2500,100,5000
branch_group__works_in_industry_en,B,government,51,2500,100,5000
branch_group__works_in_industry_en,B,groceries,50,2500,100,5000
branch_group__works_in_industry_en,B,healthcare,49,2500,100,5000
branch_group__works_in_industry_en,B,hotels,51,2500,100,5000
branch_group__works_in_industry_en,B,infrastructure,49,2500,100,5000
branch_group__works_in_industry_en,B,insurance,50,2500,100,5000
branch_group__works_in_industry_en,B,investment,50,2500,100,5000
branch_group__works_in_industry_en,B,law,48,2500,100,5000
branch_group__works_in_industry_en,B,logistics,50,2500,100,5000
branch_group__works_in_industry_en,B,maritime,51,2500,100,5000
branch_group__works_in_industry_en,B,media,50,2500,100,5000
branch_group__works_in_industry_en,B,pharmaceuticals,50,2500,100,5000
branch_group__works_in_industry_en,B,property,49,2500,100,5000
branch_group__works_in_industry_en,B,railways,49,2500,100,5000
branch_group__works_in_industry_en,B,recreation,49,2500,100,5000
branch_group__works_in_industry_en,B,research,49,2500,100,5000
branch_group__works_in_industry_en,B,retail,51,2500,100,5000
branch_group__works_in_industry_en,B,security,52,2500,100,5000
branch_group__works_in_industry_en,B,software,49,2500,100,5000
branch_group__works_in_industry_en,B,space,50,2500,100,5000
branch_group__works_in_industry_en,B,textiles,50,2500,100,5000
branch_group__works_in_industry_en,B,timber,49,2500,100,5000
branch_group__works_in_industry_en,B,tourism,49,2500,100,5000
branch_group__works_in_industry_en,B,trade,50,2500,100,5000
branch_group__works_in_industry_en,B,waste,50,2500,100,5000
branch_group__works_in_industry_en,B,welfare,51,2500,100,5000
field_of_study_en__works_in_industry_en,accounting,academia,2,100,100,5000
field_of_study_en__works_in_industry_en,accounting,accounting,2,100,100,5000
field_of_study_en__works_in_industry_en,accounting,advertising,2,100,100,5000
field_of_study_en__works_in_industry_en,accounting,airlines,2,100,100,5000
field_of_study_en__works_in_industry_en,accounting,architecture,2,100,100,5000
field_of_study_en__works_in_industry_en,accounting,arts,2,100,100,5000
field_of_study_en__works_in_industry_en,accounting,automotive,2,100,100,5000
field_of_study_en__works_in_industry_en,accounting,banking,2,100,100,5000
field_of_study_en__works_in_industry_en,accounting,biotech,2,100,100,5000
field_of_study_en__works_in_industry_en,accounting,books,2,100,100,5000
field_of_study_en__works_in_industry_en,accounting,catering,2,100,100,5000
field_of_study_en__works_in_industry_en,accounting,chemicals,2,100,100,5000
field_of_study_en__works_in_industry_en,accounting,communications,2,100,100,5000
field_of_study_en__works_in_industry_en,accounting,construction,2,100,100,5000
field_of_study_en__works_in_industry_en,accounting,consulting,2,100,100,5000
field_of_study_en__works_in_industry_en,accounting,electrical,2,100,100,5000
field_of_study_en__works_in_industry_en,accounting,energy,2,100,100,5000
field_of_study_en__works_in_industry_en,accounting,engineering,2,100,100,5000
field_of_study_en__works_in_industry_en,accounting,entertainment,2,100,100,5000
field_of_study_en__works_in_industry_en,accounting,extraction,2,100,100,5000
field_of_study_en__works_in_industry_en,accounting,fabrication,2,100,100,5000
field_of_study_en__works_in_industry_en,accounting,farming,2,100,100,5000
field_of_study_en__works_in_industry_en,accounting,fashion,2,100,100,5000
field_of_study_en__works_in_industry_en,accounting,gaming,2,100,100,5000
field_of_study_en__works_in_industry_en,accounting,government,2,100,100,5000
field_of_study_en__works_in_industry_en,accounting,groceries,2,100,100,5000
field_of_study_en__works_in_industry_en,accounting,healthcare,2,100,100,5000
field_of_study_en__works_in_industry_en,accounting,hotels,2,100,100,5000
field_of_study_en__works_in_industry_en,accounting,infrastructure,2,100,100,5000
field_of_study_en__works_in_industry_en,accounting,insurance,2,100,100,5000
field_of_study_en__works_in_industry_en,accounting,investment,2,100,100,5000
field_of_study_en__works_in_industry_en,accounting,law,2,100,100,5000
field_of_study_en__works_in_industry_en,accounting,logistics,2,100,100,5000
field_of_study_en__works_in_industry_en,accounting,maritime,1,100,100,5000
field_of_study_en__works_in_industry_en,accounting,media,2,100,100,5000
field_of_study_en__works_in_industry_en,accounting,pharmaceuticals,2,100,100,5000
field_of_study_en__works_in_industry_en,accounting,property,2,100,100,5000
field_of_study_en__works_in_industry_en,accounting,railways,3,100,100,5000
field_of_study_en__works_in_industry_en,accounting,recreation,2,100,100,5000
field_of_study_en__works_in_industry_en,accounting,research,2,100,100,5000
field_of_study_en__works_in_industry_en,accounting,retail,2,100,100,5000
field_of_study_en__works_in_industry_en,accounting,security,2,100,100,5000
field_of_study_en__works_in_industry_en,accounting,software,2,100,100,5000
field_of_study_en__works_in_industry_en,accounting,space,1,100,100,5000
field_of_study_en__works_in_industry_en,accounting,textiles,2,100,100,5000
field_of_study_en__works_in_industry_en,accounting,timber,2,100,100,5000
field_of_study_en__works_in_industry_en,accounting,tourism,3,100,100,5000
field_of_study_en__works_in_industry_en,accounting,trade,2,100,100,5000
field_of_study_en__works_in_industry_en,accounting,waste,2,100,100,5000
field_of_study_en__works_in_industry_en,accounting,welfare,2,100,100,5000
field_of_study_en__works_in_industry_en,agriculture,academia,2,100,100,5000
field_of_study_en__works_in_industry_en,agriculture,accounting,2,100,100,5000
field_of_study_en__works_in_industry_en,agriculture,advertising,2,100,100,5000
field_of_study_en__works_in_industry_en,agriculture,airlines,2,100,100,5000
field_of_study_en__works_in_industry_en,agriculture,architecture,2,100,100,5000
field_of_study_en__works_in_industry_en,agriculture,arts,2,100,100,5000
field_of_study_en__works_in_industry_en,agriculture,automotive,2,100,100,5000
field_of_study_en__works_in_industry_en,agriculture,banking,2,100,100,5000
field_of_study_en__works_in_industry_en,agriculture,biotech,2,100,100,5000
field_of_study_en__works_in_industry_en,agriculture,books,2,100,100,5000
field_of_study_en__works_in_industry_en,agriculture,catering,2,100,100,5000
field_of_study_en__works_in_industry_en,agriculture,chemicals,2,100,100,5000
field_of_study_en__works_in_industry_en,agriculture,communications,2,100,100,5000
field_of_study_en__works_in_industry_en,agriculture,construction,2,100,100,5000
field_of_study_en__works_in_industry_en,agriculture,consulting,2,100,100,5000
field_of_study_en__works_in_industry_en,agriculture,electrical,2,100,100,5000
field_of_study_en__works_in_industry_en,agriculture,energy,2,100,100,5000
field_of_study_en__works_in_industry_en,agriculture,engineering,2,100,100,5000
field_of_study_en__works_in_industry_en,agriculture,entertainment,2,100,100,5000
field_of_study_en__works_in_industry_en,agriculture,extraction,2,100,100,5000
field_of_study_en__works_in_industry_en,agriculture,fabrication,2,100,100,5000
field_of_study_en__works_in_industry_en,agriculture,farming,2,100,100,5000
field_of_study_en__works_in_industry_en,agriculture,fashion,2,100,100,5000
field_of_study_en__works_in_industry_en,agriculture,gaming,2,100,100,5000
field_of_study_en__works_in_industry_en,agriculture,government,2,100,100,5000
field_of_study_en__works_in_industry_en,agriculture,groceries,2,100,100,5000
field_of_study_en__works_in_industry_en,agriculture,healthcare,2,100,100,5000
field_of_study_en__works_in_industry_en,agriculture,hotels,2,100,100,5000
field_of_study_en__works_in_industry_en,agriculture,infrastructure,2,100,100,5000
field_of_study_en__works_in_industry_en,agriculture,insurance,2,100,100,5000
field_of_study_en__works_in_industry_en,agriculture,investment,2,100,100,5000
field_of_study_en__works_in_industry_en,agriculture,law,2,100,100,5000
field_of_study_en__works_in_industry_en,agriculture,logistics,2,100,100,5000
field_of_study_en__works_in_industry_en,agriculture,maritime,2,100,100,5000
field_of_study_en__works_in_industry_en,agriculture,media,2,100,100,5000
field_of_study_en__works_in_industry_en,agriculture,pharmaceuticals,2,100,100,5000
field_of_study_en__works_in_industry_en,agriculture,property,2,100,100,5000
field_of_study_en__works_in_industry_en,agriculture,railways,2,100,100,5000
field_of_study_en__works_in_industry_en,agriculture,recreation,2,100,100,5000
field_of_study_en__works_in_industry_en,agriculture,research,2,100,100,5000
field_of_study_en__works_in_industry_en,agriculture,retail,2,100,100,5000
field_of_study_en__works_in_industry_en,agriculture,security,2,100,100,5000
field_of_study_en__works_in_industry_en,agriculture,software,2,100,100,5000
field_of_study_en__works_in_industry_en,agriculture,space,2,100,100,5000
field_of_study_en__works_in_industry_en,agriculture,textiles,2,100,100,5000
field_of_study_en__works_in_industry_en,agriculture,timber,2,100,100,5000
field_of_study_en__works_in_industry_en,agriculture,tourism,2,100,100,5000
field_of_study_en__works_in_industry_en,agriculture,trade,2,100,100,5000
field_of_study_en__works_in_industry_en,agriculture,waste,2,100,100,5000
field_of_study_en__works_in_industry_en,agriculture,welfare,2,100,100,5000
field_of_study_en__works_in_industry_en,animal care,academia,2,100,100,5000
field_of_study_en__works_in_industry_en,animal care,accounting,2,100,100,5000
field_of_study_en__works_in_industry_en,animal care,advertising,2,100,100,5000
field_of_study_en__works_in_industry_en,animal care,airlines,2,100,100,5000
field_of_study_en__works_in_industry_en,animal care,architecture,2,100,100,5000
field_of_study_en__works_in_industry_en,animal care,arts,2,100,100,5000
field_of_study_en__works_in_industry_en,animal care,automotive,2,100,100,5000
field_of_study_en__works_in_industry_en,animal care,banking,3,100,100,5000
field_of_study_en__works_in_industry_en,animal care,biotech,2,100,100,5000
field_of_study_en__works_in_industry_en,animal care,books,1,100,100,5000
field_of_study_en__works_in_industry_en,animal care,catering,2,100,100,5000
field_of_study_en__works_in_industry_en,animal care,chemicals,2,100,100,5000
field_of_study_en__works_in_industry_en,animal care,communications,2,100,100,5000
field_of_study_en__works_in_industry_en,animal care,construction,3,100,100,5000
field_of_study_en__works_in_industry_en,animal care,consulting,2,100,100,5000
field_of_study_en__works_in_industry_en,animal care,electrical,2,100,100,5000
field_of_study_en__works_in_industry_en,animal care,energy,2,100,100,5000
field_of_study_en__works_in_industry_en,animal care,engineering,2,100,100,5000
field_of_study_en__works_in_industry_en,animal care,entertainment,2,100,100,5000
field_of_study_en__works_in_industry_en,animal care,extraction,2,100,100,5000
field_of_study_en__works_in_industry_en,animal care,fabrication,2,100,100,5000
field_of_study_en__works_in_industry_en,animal care,farming,2,100,100,5000
field_of_study_en__works_in_industry_en,animal care,fashion,2,100,100,5000
field_of_study_en__works_in_industry_en,animal care,gaming,2,100,100,5000
field_of_study_en__works_in_industry_en,animal care,government,2,100,100,5000
field_of_study_en__works_in_industry_en,animal care,groceries,2,100,100,5000
field_of_study_en__works_in_industry_en,animal care,healthcare,1,100,100,5000
field_of_study_en__works_in_industry_en,animal care,hotels,2,100,100,5000
field_of_study_en__works_in_industry_en,animal care,infrastructure,2,100,100,5000
field_of_study_en__works_in_industry_en,animal care,insurance,2,100,100,5000
field_of_study_en__works_in_industry_en,animal care,investment,2,100,100,5000
field_of_study_en__works_in_industry_en,animal care,law,2,100,100,5000
field_of_study_en__works_in_industry_en,animal care,logistics,2,100,100,5000
field_of_study_en__works_in_industry_en,animal care,maritime,2,100,100,5000
field_of_study_en__works_in_industry_en,animal care,media,2,100,100,5000
field_of_study_en__works_in_industry_en,animal care,pharmaceuticals,2,100,100,5000
field_of_study_en__works_in_industry_en,animal care,property,2,100,100,5000
field_of_study_en__works_in_industry_en,animal care,railways,2,100,100,5000
field_of_study_en__works_in_industry_en,animal care,recreation,2,100,100,5000
field_of_study_en__works_in_industry_en,animal care,research,2,100,100,5000
field_of_study_en__works_in_industry_en,animal care,retail,2,100,100,5000
field_of_study_en__works_in_industry_en,animal care,security,2,100,100,5000
field_of_study_en__works_in_industry_en,animal care,software,2,100,100,5000
field_of_study_en__works_in_industry_en,animal care,space,2,100,100,5000
field_of_study_en__works_in_industry_en,animal care,textiles,2,100,100,5000
field_of_study_en__works_in_industry_en,animal care,timber,2,100,100,5000
field_of_study_en__works_in_industry_en,animal care,tourism,2,100,100,5000
field_of_study_en__works_in_industry_en,animal care,trade,2,100,100,5000
field_of_study_en__works_in_industry_en,animal care,waste,2,100,100,5000
field_of_study_en__works_in_industry_en,animal care,welfare,2,100,100,5000
field_of_study_en__works_in_industry_en,anthropology,academia,2,100,100,5000
field_of_study_en__works_in_industry_en,anthropology,accounting,2,100,100,5000
field_of_study_en__works_in_industry_en,anthropology,advertising,2,100,100,5000
field_of_study_en__works_in_industry_en,anthropology,airlines,2,100,100,5000
field_of_study_en__works_in_industry_en,anthropology,architecture,2,100,100,5000
field_of_study_en__works_in_industry_en,anthropology,arts,2,100,100,5000
field_of_study_en__works_in_industry_en,anthropology,automotive,2,100,100,5000
field_of_study_en__works_in_industry_en,anthropology,banking,2,100,100,5000
field_of_study_en__works_in_industry_en,anthropology,biotech,2,100,100,5000
field_of_study_en__works_in_industry_en,anthropology,books,2,100,100,5000
field_of_study_en__works_in_industry_en,anthropology,catering,2,100,100,5000
field_of_study_en__works_in_industry_en,anthropology,chemicals,2,100,100,5000
field_of_study_en__works_in_industry_en,anthropology,communications,2,100,100,5000
field_of_study_en__works_in_industry_en,anthropology,construction,2,100,100,5000
field_of_study_en__works_in_industry_en,anthropology,consulting,2,100,100,5000
field_of_study_en__works_in_industry_en,anthropology,electrical,2,100,100,5000
field_of_study_en__works_in_industry_en,anthropology,energy,2,100,100,5000
field_of_study_en__works_in_industry_en,anthropology,engineering,2,100,100,5000
field_of_study_en__works_in_industry_en,anthropology,entertainment,2,100,100,5000
field_of_study_en__works_in_industry_en,anthropology,extraction,2,100,100,5000
field_of_study_en__works_in_industry_en,anthropology,fabrication,2,100,100,5000
field_of_study_en__works_in_industry_en,anthropology,farming,2,100,100,5000
field_of_study_en__works_in_industry_en,anthropology,fashion,2,100,100,5000
field_of_study_en__works_in_industry_en,anthropology,gaming,2,100,100,5000
field_of_study_en__works_in_industry_en,anthropology,government,3,100,100,5000
field_of_study_en__works_in_industry_en,anthropology,groceries,2,100,100,5000
field_of_study_en__works_in_industry_en,anthropology,healthcare,2,100,100,5000
field_of_study_en__works_in_industry_en,anthropology,hotels,2,100,100,5000
field_of_study_en__works_in_industry_en,anthropology,infrastructure,2,100,100,5000
field_of_study_en__works_in_industry_en,anthropology,insurance,2,100,100,5000
field_of_study_en__works_in_industry_en,anthropology,investment,2,100,100,5000
field_of_study_en__works_in_industry_en,anthropology,law,2,100,100,5000
field_of_study_en__works_in_industry_en,anthropology,logistics,2,100,100,5000
field_of_study_en__works_in_industry_en,anthropology,maritime,2,100,100,5000
field_of_study_en__works_in_industry_en,anthropology,media,2,100,100,5000
field_of_study_en__works_in_industry_en,anthropology,pharmaceuticals,1,100,100,5000
field_of_study_en__works_in_industry_en,anthropology,property,2,100,100,5000
field_of_study_en__works_in_industry_en,anthropology,railways,2,100,100,5000
field_of_study_en__works_in_industry_en,anthropology,recreation,2,100,100,5000
field_of_study_en__works_in_industry_en,anthropology,research,2,100,100,5000
field_of_study_en__works_in_industry_en,anthropology,retail,2,100,100,5000
field_of_study_en__works_in_industry_en,anthropology,security,2,100,100,5000
field_of_study_en__works_in_industry_en,anthropology,software,2,100,100,5000
field_of_study_en__works_in_industry_en,anthropology,space,2,100,100,5000
field_of_study_en__works_in_industry_en,anthropology,textiles,2,100,100,5000
field_of_study_en__works_in_industry_en,anthropology,timber,2,100,100,5000
field_of_study_en__works_in_industry_en,anthropology,tourism,2,100,100,5000
field_of_study_en__works_in_industry_en,anthropology,trade,2,100,100,5000
field_of_study_en__works_in_industry_en,anthropology,waste,2,100,100,5000
field_of_study_en__works_in_industry_en,anthropology,welfare,2,100,100,5000
field_of_study_en__works_in_industry_en,archaeology,academia,2,100,100,5000
field_of_study_en__works_in_industry_en,archaeology,accounting,2,100,100,5000
field_of_study_en__works_in_industry_en,archaeology,advertising,2,100,100,5000
field_of_study_en__works_in_industry_en,archaeology,airlines,2,100,100,5000
field_of_study_en__works_in_industry_en,archaeology,architecture,2,100,100,5000
field_of_study_en__works_in_industry_en,archaeology,arts,2,100,100,5000
field_of_study_en__works_in_industry_en,archaeology,automotive,2,100,100,5000
field_of_study_en__works_in_industry_en,archaeology,banking,2,100,100,5000
field_of_study_en__works_in_industry_en,archaeology,biotech,1,100,100,5000
field_of_study_en__works_in_industry_en,archaeology,books,2,100,100,5000
field_of_study_en__works_in_industry_en,archaeology,catering,2,100,100,5000
field_of_study_en__works_in_industry_en,archaeology,chemicals,2,100,100,5000
field_of_study_en__works_in_industry_en,archaeology,communications,2,100,100,5000
field_of_study_en__works_in_industry_en,archaeology,construction,2,100,100,5000
field_of_study_en__works_in_industry_en,archaeology,consulting,2,100,100,5000
field_of_study_en__works_in_industry_en,archaeology,electrical,3,100,100,5000
field_of_study_en__works_in_industry_en,archaeology,energy,2,100,100,5000
field_of_study_en__works_in_industry_en,archaeology,engineering,2,100,100,5000
field_of_study_en__works_in_industry_en,archaeology,entertainment,2,100,100,5000
field_of_study_en__works_in_industry_en,archaeology,extraction,2,100,100,5000
field_of_study_en__works_in_industry_en,archaeology,fabrication,2,100,100,5000
field_of_study_en__works_in_industry_en,archaeology,farming,2,100,100,5000
field_of_study_en__works_in_industry_en,archaeology,fashion,2,100,100,5000
field_of_study_en__works_in_industry_en,archaeology,gaming,2,100,100,5000
field_of_study_en__works_in_industry_en,archaeology,government,2,100,100,5000
field_of_study_en__works_in_industry_en,archaeology,groceries,3,100,100,5000
field_of_study_en__works_in_industry_en,archaeology,healthcare,2,100,100,5000
field_of_study_en__works_in_industry_en,archaeology,hotels,2,100,100,5000
field_of_study_en__works_in_industry_en,archaeology,infrastructure,2,100,100,5000
field_of_study_en__works_in_industry_en,archaeology,insurance,2,100,100,5000
field_of_study_en__works_in_industry_en,archaeology,investment,2,100,100,5000
field_of_study_en__works_in_industry_en,archaeology,law,2,100,100,5000
field_of_study_en__works_in_industry_en,archaeology,logistics,2,100,100,5000
field_of_study_en__works_in_industry_en,archaeology,maritime,2,100,100,5000
field_of_study_en__works_in_industry_en,archaeology,media,2,100,100,5000
field_of_study_en__works_in_industry_en,archaeology,pharmaceuticals,2,100,100,5000
