relation,object_en,object_tr,source_taxonomy,source_category,en_token_count,en_token_ids,en_prior_mean_logprob,en_prior_robust_z,en_prior_share,tr_token_count,tr_token_ids,tr_prior_mean_logprob,tr_prior_robust_z,tr_prior_share,status,flags
field_of_study,politics,siyaset,ISCED-F 2013,0312 Political sciences and civics,1,5993,-8.4683822,-0.213947,0.00548388,3,262|12771|4747,-3.98621988,0.332588,0.02281265,pass,
field_of_study,law,hukuk,ISCED-F 2013,0421 Law,1,1525,-7.13504887,0.704509,0.02080404,3,294|3617|3617,-3.62720037,0.787323,0.032666,pass,
field_of_study,medicine,tıp,ISCED-F 2013,0912 Medicine,1,4513,-7.48921553,0.460544,0.0145994,3,252|20335|96,-3.78816716,0.583442,0.02780923,pass,
field_of_study,nursing,hemşirelik,ISCED-F 2013,0913 Nursing and midwifery,1,11040,-9.2808822,-0.773631,0.00243346,4,8367|32647|609|7692,-4.72608646,-0.604527,0.01088569,pass,
field_of_study,pharmacy,ilaç,ISCED-F 2013,0916 Pharmacy,1,31244,-9.7183822,-1.074999,0.00157116,3,216|9194|11512,-5.84938002,-2.027292,0.0035401,pass,
field_of_study,dental studies,diş,ISCED-F 2013,0911 Dental studies,2,6437|2157,-7.66951482,0.336346,0.01219079,2,801|32647,-6.2000494,-2.47145,0.002493,pass,
field_of_study,animal care,hayvan,ISCED-F 2013,0841 Veterinary,2,3161|1176,-6.27355083,1.297944,0.04923699,2,16993|6187,-6.63252481,-3.019224,0.00161771,pass,
field_of_study,architecture,mimarlık,ISCED-F 2013,0731 Architecture and town planning,1,6277,-8.55171553,-0.27135,0.00504542,4,12112|2108|20335|91,-5.06488895,-1.033655,0.00775739,pass,
field_of_study,construction,inşaat,ISCED-F 2013,0732 Building and civil engineering,1,3901,-10.07254887,-1.318964,0.00110257,4,281|32647|81|261,-3.7189126,0.67116,0.0298034,pass,
field_of_study,mechanics,mekanik,ISCED-F 2013,0715 Mechanics and metal trades,1,12774,-8.94754887,-0.544017,0.00339617,3,549|24184|1873,-4.46281417,-0.271066,0.01416425,pass,
field_of_study,electricity,elektrik,ISCED-F 2013,0713 Electricity and energy,1,4866,-10.55171553,-1.649033,0.00068282,3,1427|22817|20598,-3.53501193,0.904089,0.0358206,pass,
field_of_study,computing,bilişim,ISCED-F 2013,0613 Software and applications development,1,7867,-8.48921553,-0.228298,0.00537082,4,278|1979|32647|306,-3.30383992,1.196891,0.04513668,pass,
field_of_study,software,programlama,ISCED-F 2013,0613 Software and applications development,1,3197,-9.0933822,-0.644473,0.00293531,3,1578|4130|81,-4.41255379,-0.207407,0.01489434,pass,
field_of_study,ecology,ekoloji,ISCED-F 2013,0521 Environmental sciences,1,14269,-8.5933822,-0.300052,0.00483951,4,297|91|21758|10381,-4.19328451,0.07032,0.01854594,pass,
field_of_study,agriculture,tarım,ISCED-F 2013,0811 Crop and livestock production,1,5995,-8.5933822,-0.300052,0.00483951,3,12331|20335|93,-3.88555535,0.46009,0.02522864,pass,
field_of_study,forestry,ormanlar,ISCED-F 2013,0821 Forestry,1,23502,-10.89546553,-1.885823,0.00048419,3,355|1483|25004,-5.84490363,-2.021622,0.00355598,pass,
field_of_study,teaching,didaktik,ISCED-F 2013,0111 Education science,1,3229,-9.0933822,-0.644473,0.00293531,4,1250|494|100|1873,-4.03609482,0.269417,0.02170278,pass,
field_of_study,media studies,basın,ISCED-F 2013,0321 Journalism and reporting,2,2902|2157,-5.70996507,1.686166,0.08650748,3,1516|20335|94,-4.15050205,0.124508,0.01935659,pass,
field_of_study,communication,medya,ISCED-F 2013,0321 Journalism and reporting,1,2908,-8.09720389,0.041736,0.00794857,2,958|5488,-6.80185636,-3.233699,0.00136572,pass,
field_of_study,design,dizayn,ISCED-F 2013,0212 Fashion interior and industrial design,1,1157,-8.74303722,-0.403141,0.00416684,4,287|463|341|94,-5.3516504,-1.396867,0.0058234,pass,
field_of_study,music,müzik,ISCED-F 2013,0215 Music and performing arts,1,2477,-7.65970389,0.343105,0.01231099,4,283|7170|106|1873,-2.77512908,1.866557,0.07658537,pass,
field_of_study,theatre,tiyatro,ISCED-F 2013,0215 Music and performing arts,1,16984,-11.06595389,-2.003262,0.0004083,3,252|12771|47923,-4.44649871,-0.250401,0.01439724,pass,
field_of_study,film studies,sinema,ISCED-F 2013,0211 Audio-visual techniques and media production,2,4771|2157,-6.3034393,1.277356,0.04778714,2,6028|8950,-6.54284732,-2.905638,0.00176948,pass,
field_of_study,business,işletme,ISCED-F 2013,0410 Business and administration,1,1861,-7.40970389,0.515315,0.01580762,4,2056|32647|2016|1558,-3.38902918,1.088991,0.04145075,pass,
field_of_study,accounting,muhasebe,ISCED-F 2013,0411 Accounting and taxation,1,9886,-9.45137056,-0.89107,0.00205202,4,283|6640|576|1425,-4.57522154,-0.413442,0.01265831,pass,
field_of_study,fiscal studies,maliye,ISCED-F 2013,0412 Finance banking and insurance,2,16122|2157,-8.87004312,-0.490627,0.00366986,3,4382|89|6602,-5.04760424,-1.011762,0.00789264,pass,
field_of_study,marketing,pazarlama,ISCED-F 2013,0414 Marketing and advertising,1,8162,-8.49303722,-0.23093,0.00535033,4,273|1437|2108|4232,-4.22398249,0.031438,0.01798526,pass,
field_of_study,management,yönetim,ISCED-F 2013,0413 Management and administration,1,2343,-8.24303722,-0.05872,0.00686996,4,329|7466|4205|306,-3.16599353,1.371488,0.05180785,pass,
field_of_study,tourism,turizm,ISCED-F 2013,1015 Travel tourism and leisure,1,11044,-10.26387056,-1.450754,0.00091058,3,6615|463|93,-4.49270217,-0.308923,0.01374717,pass,
field_of_study,logistics,lojistik,ISCED-F 2013,1041 Transport services,1,21153,-10.69095389,-1.744947,0.00059407,4,3092|90|363|1873,-5.55719312,-1.657208,0.00474145,pass,
field_of_study,governance,kamu,ISCED-F 2013,0413 Management and administration,1,10378,-11.92012056,-2.591648,0.00017379,3,501|332|101,-4.03932619,0.265324,0.02163276,pass,
field_of_study,diplomacy,diplomasi,ISCED-F 2013,0312 Political sciences and civics,1,22608,-12.18053722,-2.771034,0.00013394,3,9216|4815|89,-5.87645149,-2.061581,0.00344555,pass,
field_of_study,social care,bakım,ISCED-F 2013,0923 Social work and counselling,2,1329|1176,-7.76575565,0.270052,0.01107223,3,28723|20335|93,-4.34006572,-0.115593,0.0160141,pass,
field_of_study,exercise science,hareket,ISCED-F 2013,1014 Sports,2,3388|2092,-6.26922274,1.300926,0.04945055,2,43651|10116,-6.62831322,-3.013889,0.00162454,pass,
field_of_study,data analytics,veri bilimi,ISCED-F 2013,0613 Software and applications development,2,940|15928,-5.72109556,1.678499,0.08554995,4,2303|89|23059|35782,-4.67775663,-0.543313,0.01142471,pass,
works_in_industry,farming,tarım,NACE Rev. 2.1,A Agriculture forestry and fishing,1,7723,-8.97327964,0.722102,0.02193909,3,12331|20335|93,-3.86010019,0.685959,0.0353888,pass,
works_in_industry,timber,orman,NACE Rev. 2.1,A Agriculture forestry and fishing,1,13789,-10.6399463,-0.547528,0.00414376,2,355|1483,-7.05288569,-1.421997,0.00145297,pass,
works_in_industry,extraction,maden,NACE Rev. 2.1,B Mining and quarrying,1,12151,-11.37952964,-1.110926,0.00197787,2,15480|264,-7.41215436,-1.659195,0.00101444,pass,
works_in_industry,energy,enerji,NACE Rev. 2.1,D Electricity gas steam and air conditioning supply,1,1439,-8.11911297,1.372787,0.05154403,3,430|259|10381,-4.99603844,-0.064016,0.01136408,pass,
works_in_industry,infrastructure,altyapı,NACE Rev. 2.1,D-E Utilities and waste services,1,5730,-9.9524463,-0.023806,0.00824085,4,360|866|512|20335,-4.8326985,0.043826,0.01338048,pass,
works_in_industry,construction,inşaat,NACE Rev. 2.1,F Construction,1,3901,-7.66077964,1.721935,0.08151359,4,281|32647|81|261,-3.75518243,0.755228,0.03930349,pass,
works_in_industry,industrial goods,imalat,NACE Rev. 2.1,C Manufacturing,2,4674|5503,-7.03767602,2.196602,0.15199891,3,444|272|261,-6.61248604,-1.131234,0.00225694,review,en_prior_share
works_in_industry,automotive,otomotiv,NACE Rev. 2.1,C29 Manufacture of motor vehicles,1,21251,-8.7024463,0.928417,0.02876338,4,19182|300|320|380,-3.8068827,0.721094,0.03732312,pass,
works_in_industry,space,uzay,NACE Rev. 2.1,C30 Manufacture of other transport equipment,1,1898,-9.91077964,0.007935,0.00859147,3,326|106|341,-4.50902081,0.257525,0.01849453,pass,
works_in_industry,electrical,elektrik,NACE Rev. 2.1,C26 Manufacture of computer electronic and optical products,1,5464,-8.7024463,0.928417,0.02876338,3,1427|22817|20598,-3.85721604,0.687863,0.03549102,pass,
works_in_industry,chemicals,kimya,NACE Rev. 2.1,C20 Manufacture of chemicals,1,5478,-9.93161297,-0.007935,0.00841433,3,501|306|5488,-4.82074865,0.051715,0.01354134,pass,
works_in_industry,pharmaceuticals,ilaç,NACE Rev. 2.1,C21 Manufacture of pharmaceutical products,1,31037,-10.12952964,-0.158704,0.00690344,3,216|9194|11512,-5.66661437,-0.506746,0.00581175,pass,
works_in_industry,healthcare,tıp,NACE Rev. 2.1,Q Human health and social work activities,1,4379,-7.66077964,1.721935,0.08151359,3,252|20335|96,-3.89484016,0.663023,0.03418051,pass,
works_in_industry,biotech,biyoloji,NACE Rev. 2.1,M72 Scientific research and development,1,44960,-10.36911297,-0.341213,0.0054327,4,1632|105|21758|10381,-3.76409268,0.749345,0.03895484,pass,
works_in_industry,banking,finans,NACE Rev. 2.1,K64 Financial service activities,1,14262,-8.49411297,1.08712,0.03542566,2,1501|487,-7.18579372,-1.509746,0.00127214,pass,
works_in_industry,insurance,sigorta,NACE Rev. 2.1,K65 Insurance and pension funding,1,6697,-9.3899463,0.404694,0.01446314,2,29459|35072,-8.68029054,-2.496449,0.00028542,pass,
works_in_industry,investment,yatirim,NACE Rev. 2.1,K66 Activities auxiliary to financial services,1,5642,-10.0149463,-0.071417,0.00774156,4,329|261|337|306,-4.73730008,0.10681,0.01471983,pass,
works_in_industry,accounting,muhasebe,NACE Rev. 2.1,M69 Legal and accounting activities,1,9886,-8.66077964,0.960157,0.02998717,4,283|6640|576|1425,-4.67336599,0.149021,0.01569167,pass,
works_in_industry,law,hukuk,NACE Rev. 2.1,M69 Legal and accounting activities,1,1525,-9.2649463,0.499917,0.01638888,3,294|3617|3617,-4.05047345,0.56027,0.02925417,pass,
works_in_industry,software,teknoloji,NACE Rev. 2.1,J62 Computer programming and consultancy,1,3197,-8.0774463,1.404528,0.05373707,4,543|18605|21758|10381,-3.3785158,1.003913,0.05728163,pass,
works_in_industry,communications,telekom,NACE Rev. 2.1,J61 Telecommunications,1,9353,-10.2649463,-0.261861,0.00602913,3,4462|91|300,-4.7259388,0.114311,0.01488802,pass,
works_in_industry,media,medya,NACE Rev. 2.1,J60 Programming and broadcasting,1,2902,-9.0149463,0.690361,0.02104374,2,958|5488,-7.28749228,-1.57689,0.00114913,pass,
works_in_industry,books,yayın,NACE Rev. 2.1,J58 Publishing activities,1,2905,-10.97327964,-0.801454,0.00296913,4,329|341|20335|94,-2.94687819,1.28889,0.08820093,pass,
works_in_industry,advertising,reklam,NACE Rev. 2.1,M73 Advertising and market research,1,11757,-9.84827964,0.055546,0.00914557,3,298|91|4130,-4.00434113,0.590727,0.03063535,pass,
works_in_industry,entertainment,eğlence,NACE Rev. 2.1,R90 Creative arts and entertainment,1,11154,-10.1399463,-0.166639,0.0068319,4,297|43702|92|535,-3.05927595,1.214683,0.07882418,pass,
works_in_industry,gaming,oyun,NACE Rev. 2.1,J58 Publishing of computer games,1,13636,-10.34827964,-0.325343,0.00554707,2,20785|419,-6.1148874,-0.802707,0.00371214,pass,
works_in_industry,academia,akademi,NACE Rev. 2.1,P Education,1,13762,-10.8274463,-0.690361,0.0034353,3,46345|2314|89,-4.31788286,0.383719,0.02238996,pass,
works_in_industry,research,bilim,NACE Rev. 2.1,M72 Scientific research and development,1,1151,-8.53577964,1.05538,0.03397992,2,23059|306,-6.34048239,-0.951651,0.00296244,pass,
works_in_industry,retail,perakende,NACE Rev. 2.1,G47 Retail trade,1,11124,-8.03577964,1.436269,0.05602342,3,567|494|32957,-9.27070045,-2.886253,0.00015815,pass,
works_in_industry,trade,ticaret,NACE Rev. 2.1,G46 Wholesale trade,1,3735,-9.5461963,0.285667,0.01237098,3,252|286|9258,-4.92036819,-0.014056,0.01225737,pass,
works_in_industry,logistics,lojistik,NACE Rev. 2.1,H52 Warehousing and support activities for transportation,1,21153,-9.91077964,0.007935,0.00859147,4,3092|90|363|1873,-5.07562272,-0.116559,0.01049473,pass,
works_in_industry,maritime,deniz,NACE Rev. 2.1,H50 Water transport,1,18011,-10.78577964,-0.65862,0.00358146,2,4017|463,-5.53991175,-0.423094,0.0065968,pass,
works_in_industry,airlines,uçuş,NACE Rev. 2.1,H51 Air transport,1,33411,-11.51053556,-1.210723,0.00173501,4,326|11512|101|32647,-3.27241937,1.07396,0.06369311,pass,
works_in_industry,railways,demiryolu,NACE Rev. 2.1,H49 Land transport,1,33214,-11.86470222,-1.48052,0.00121756,4,1877|38230|308|101,-5.56902997,-0.442319,0.00640748,pass,
works_in_industry,tourism,turizm,NACE Rev. 2.1,N79 Travel agency and tour operator activities,1,11044,-9.4792854,0.336638,0.01322705,3,6615|463|93,-5.04920546,-0.099118,0.01077566,pass,
works_in_industry,hotels,otel,NACE Rev. 2.1,I Accommodation and food service activities,1,21143,-10.96886889,-0.798094,0.00298226,2,19182|299,-7.28749069,-1.576889,0.00114913,pass,
works_in_industry,catering,yemek,NACE Rev. 2.1,I56 Food and beverage service activities,1,25446,-11.67720222,-1.337686,0.00146866,3,329|391|1846,-4.08978955,0.534312,0.02812633,pass,
works_in_industry,groceries,gıda,NACE Rev. 2.1,C10 Manufacture of food products,1,37039,-12.81261889,-2.202622,0.00047186,3,310|20335|4933,-4.41958451,0.316574,0.02022483,pass,
works_in_industry,textiles,tekstil,NACE Rev. 2.1,C13 Manufacture of textiles,1,22182,-9.81261889,0.082712,0.00947759,4,543|91|302|301,-4.87778823,0.014056,0.01279056,pass,
works_in_industry,fashion,moda,NACE Rev. 2.1,C14 Manufacture of wearing apparel,1,7317,-9.86470222,0.043036,0.0089966,2,798|81,-7.54802227,-1.748898,0.00088557,pass,
works_in_industry,property,emlak,NACE Rev. 2.1,L Real estate activities,1,3501,-10.78136889,-0.65526,0.00359729,3,649|92|494,-4.99705887,-0.064689,0.01135249,pass,
works_in_industry,architecture,mimarlık,NACE Rev. 2.1,M71 Architectural and engineering activities,1,6277,-9.65636889,0.20174,0.01108043,4,12112|2108|20335|91,-5.12199561,-0.147176,0.01001917,pass,
works_in_industry,engineering,teknik,NACE Rev. 2.1,M71 Architectural and engineering activities,1,4665,-7.98970222,1.471369,0.05866523,3,543|18605|1873,-3.83435361,0.702957,0.03631178,pass,
works_in_industry,consulting,strateji,NACE Rev. 2.1,M70 Management consultancy activities,1,18020,-10.38553556,-0.353723,0.00534421,3,871|368|10381,-7.69148668,-1.843617,0.00076721,pass,
works_in_industry,government,kamu,NACE Rev. 2.1,O Public administration and defence,1,1693,-8.34386873,1.201573,0.0411688,3,501|332|101,-4.44703913,0.298447,0.01967712,pass,
works_in_industry,security,güvenlik,NACE Rev. 2.1,N80 Security and investigation activities,1,3292,-10.03136889,-0.083927,0.00761546,4,310|7170|1241|7692,-3.00005929,1.253779,0.08363285,pass,
works_in_industry,waste,atık,NACE Rev. 2.1,E38 Waste collection treatment and materials recovery,1,3368,-10.32303556,-0.306112,0.00568888,3,418|20335|91,-5.20965926,-0.205053,0.00917825,pass,
works_in_industry,recreation,egzersiz,NACE Rev. 2.1,R93 Sports activities,1,17534,-11.41678556,-1.139307,0.00190554,3,19101|36006|463,-7.55180105,-1.751393,0.00088223,pass,
works_in_industry,arts,sanat,NACE Rev. 2.1,R90 Creative arts and entertainment,1,6600,-10.07303556,-0.115668,0.00730467,2,6183|261,-5.80252552,-0.596478,0.00507319,pass,
works_in_industry,welfare,refah,NACE Rev. 2.1,Q88 Social work activities,1,9365,-12.04178556,-1.615418,0.00101996,2,930|1287,-8.56378206,-2.419528,0.00032069,pass,
